,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Gladstone,76,AU,1553568764,55,-23.84,151.26,91.99,10.29
376,Riyadh,40,SA,1553565600,77,24.63,46.72,68.0,12.21
377,Debre Tabor,0,ET,1553569578,59,11.86,38.01,54.66,2.37
378,Porkhov,0,RU,1553565600,92,57.77,29.55,30.2,8.95
379,Iguai,56,BR,1553569580,96,-14.76,-40.09,69.33,2.71
380,Tiksi,0,RU,1553569334,76,71.64,128.87,-3.67,4.38
381,Opuwo,36,NA,1553569583,70,-18.06,13.84,61.86,2.48
382,Beisfjord,80,NO,1553569288,92,68.38,17.6,30.0,11.41
383,Rio Branco,40,BR,1553565600,88,-9.98,-67.82,77.0,3.36
384,Port Macquarie,88,AU,1553569505,61,-31.43,152.91,82.0,6.93
385,Swellendam,32,ZA,1553565600,87,-34.02,20.44,60.8,1.12
386,Nikolskoye,75,RU,1553569537,86,59.7,30.79,30.2,11.18
387,Tevriz,44,RU,1553569590,87,57.51,72.4,26.4,10.42
388,Changji,64,CN,1553569591,66,32.07,116.17,68.7,4.5
389,Mosjoen,0,NO,1553568600,80,65.84,13.19,30.2,2.24
390,Sobolevo,44,RU,1553569594,87,54.43,31.9,28.02,8.75
391,Cockburn Town,88,TC,1553569595,100,21.46,-71.14,75.72,15.35
392,Nadym,56,RU,1553569596,93,65.53,72.51,31.17,18.03
393,Kungalv,0,SE,1553569589,85,57.87,11.98,43.0,5.82
394,Pianco,88,BR,1553569599,100,-7.2,-37.93,68.88,1.7
395,Barmer,0,IN,1553569600,60,25.74,71.4,70.32,8.75
396,Tautira,40,PF,1553569343,62,-17.73,-149.15,87.8,4.7
397,Mechetinskaya,0,RU,1553569602,79,46.77,40.45,32.97,8.3
398,Longyearbyen,20,NO,1553565000,77,78.22,15.63,1.4,2.24
399,Chegdomyn,20,RU,1553569605,48,51.13,133.04,26.85,3.6
400,Shestakovo,0,RU,1553569606,55,56.49,103.96,19.74,3.49
401,Havre-Saint-Pierre,20,CA,1553565600,38,50.23,-63.6,6.8,10.29
402,Tete,40,MZ,1553565600,100,-16.16,33.59,69.8,2.48
403,Egvekinot,88,RU,1553569610,86,66.32,-179.17,21.63,10.76
404,Weligama,0,LK,1553569611,87,5.97,80.42,82.02,8.75
405,Dalbandin,24,PK,1553569612,80,28.9,64.41,58.35,4.61
406,Maple Creek,0,CA,1553569321,86,49.91,-109.46,37.92,12.33
407,Humaita,90,AR,1553565600,93,-24.93,-65.37,66.2,2.37
408,Fuxin,88,CN,1553569616,22,42.02,121.65,41.07,5.5
409,Deer Lake,75,CA,1553565600,72,49.18,-57.43,17.6,8.05
410,Dakar,0,SN,1553567400,82,14.69,-17.45,64.4,5.82
411,Constitucion,5,MX,1553564640,9,23.99,-104.67,75.2,18.34
412,Balakhninskiy,12,RU,1553569621,58,58.01,114.28,11.46,3.15
413,Nijar,12,ES,1553569343,44,36.97,-2.21,64.99,6.93
414,Rundu,44,NA,1553569623,41,-17.91,19.77,71.31,5.61
415,Guerande,0,FR,1553569386,93,48.47,-4.17,42.01,3.36
416,Seoul,1,KR,1553568000,41,37.57,126.98,57.2,2.24
417,Alihe,8,CN,1553569626,44,50.57,123.73,24.51,6.4
418,Svetlogorsk,75,RU,1553567400,74,53.14,59.15,30.2,11.18
419,Caravelas,20,BR,1553569603,100,-17.73,-39.27,82.65,9.64
420,Manaus,0,BR,1553565600,94,-3.13,-59.98,77.0,2.24
421,Yar-Sale,48,RU,1553569599,89,66.83,70.83,27.39,18.48
422,Stonewall,75,CA,1553569559,53,50.13,-97.33,27.0,6.93
423,Gweta,0,BW,1553569634,54,-20.21,25.26,67.71,6.62
424,Amasya,0,TR,1553566800,85,40.65,35.83,23.0,4.7
425,Martinez,90,US,1553569628,87,38.01,-122.13,57.2,6.93
426,Lavrentiya,80,RU,1553569637,91,65.58,-170.99,33.87,24.85
427,Yerofey Pavlovich,0,RU,1553569639,32,53.97,121.97,16.95,5.73
428,Necochea,92,AR,1553569278,66,-38.55,-58.74,57.0,3.0
429,Sabang,24,PH,1553569641,77,13.72,123.58,83.1,13.22
430,Fort Nelson,40,CA,1553565600,31,58.81,-122.69,50.0,2.24
431,Kaeo,0,NZ,1553569385,62,-35.1,173.78,75.99,11.01
432,Umm Lajj,0,SA,1553569645,100,25.02,37.27,59.61,6.96
433,Broome,32,GB,1553569630,85,52.47,1.45,37.99,5.82
434,Saravena,0,CO,1553569647,76,6.96,-71.88,71.58,2.93
435,San Patricio,32,PY,1553569648,56,-26.98,-56.83,66.63,5.95
436,Haines Junction,48,CA,1553569649,64,60.75,-137.51,34.23,2.04
437,Naliya,0,IN,1553569651,46,23.26,68.83,75.27,9.19
438,Manzhouli,36,CN,1553569652,23,49.6,117.43,24.51,7.18
439,Nanortalik,80,GL,1553569653,100,60.14,-45.24,26.76,21.27
440,Pisco,75,PE,1553565600,77,-13.71,-76.2,69.8,16.11
441,Makakilo City,90,US,1553569648,69,21.35,-158.09,82.4,9.17
442,Puerto Pailas,75,BO,1553565600,88,-17.67,-62.79,75.2,8.05
443,Arvika,0,SE,1553568217,59,59.65,12.59,33.8,8.05
444,Antigonish,1,CA,1553569391,85,45.62,-61.99,28.0,5.28
445,Yaring,40,TH,1553565600,79,6.87,101.37,84.2,6.93
446,Fayaoue,80,NC,1553569662,100,-20.65,166.53,80.76,18.59
447,Tay Ninh,12,VN,1553569663,87,11.3,106.1,83.1,4.5
448,Marystown,0,CA,1553569273,100,47.17,-55.16,28.0,21.05
449,Benguela,76,AO,1553569414,100,-12.58,13.4,77.16,1.7
450,Borujerd,75,IR,1553565600,52,33.89,48.76,44.6,2.59
451,Sindor,88,RU,1553569668,94,62.87,51.9,32.07,2.59
452,Conakry,0,GN,1553569669,100,9.52,-13.7,78.96,10.65
453,Ipixuna,40,BR,1553565600,94,-1.76,-48.8,75.2,3.15
454,Inirida,24,CO,1553569672,85,3.87,-67.92,77.7,3.27
455,Karratha,92,AU,1553569664,97,-20.74,116.85,77.88,12.21
456,Kemin,0,KG,1553569674,74,42.79,75.7,27.75,1.92
457,Esmeraldas,0,BR,1553565600,68,-19.76,-44.31,71.6,5.82
458,Klaksvik,92,FO,1553566800,93,62.23,-6.59,46.4,11.41
459,Balao,90,EC,1553569538,83,-2.91,-79.82,80.6,2.82
460,Baft,92,IR,1553569679,89,29.23,56.61,44.49,8.41
461,Inta,88,RU,1553569680,84,66.04,60.13,33.6,6.17
462,Kenscoff,92,HT,1553569517,90,18.45,-72.29,75.0,2.15
463,Kutum,0,SD,1553569683,24,14.2,24.66,61.32,11.21
464,Vastseliina,12,EE,1553565600,92,57.73,27.29,30.2,8.95
465,Marsh Harbour,64,BS,1553569520,100,26.54,-77.06,73.83,6.96
466,Mana,75,RS,1553567400,86,43.52,20.24,41.0,3.36
467,Whitehorse,75,CA,1553569254,34,60.72,-135.06,48.2,6.93
468,Teguldet,0,RU,1553569689,73,57.31,88.17,30.63,3.49
469,Ossora,64,RU,1553569690,91,59.24,163.07,21.27,25.86
470,Saint-Pierre,40,FR,1553569632,91,48.95,4.24,39.2,10.29
471,Mocuba,0,MZ,1553569693,91,-16.84,36.99,65.91,2.71
472,Padang,40,ID,1553565600,74,-0.92,100.36,84.2,1.12
473,Ulaangom,32,MN,1553569696,73,49.98,92.07,19.02,2.82
474,Songea,88,TZ,1553569697,97,-10.68,35.65,67.98,1.92
475,Severo-Kurilsk,56,RU,1553569698,100,50.68,156.12,28.83,20.04
476,Slave Lake,40,CA,1553565600,84,55.28,-114.77,41.0,5.82
477,Matay,0,EG,1553569700,81,28.42,30.79,44.58,2.71
478,Grindavik,90,IS,1553569182,86,63.84,-22.43,42.01,31.09
479,Daru,24,SL,1553569703,90,7.99,-10.85,74.55,5.17
480,Itarema,64,BR,1553569704,98,-2.92,-39.92,75.99,3.6
481,Lafiagi,20,NG,1553569706,64,8.85,5.42,82.02,7.52
482,Iracoubo,88,GF,1553569707,74,5.48,-53.21,77.88,5.17
483,Hamilton,5,CA,1553569419,46,43.26,-79.87,32.0,12.75
484,Kapit,92,MY,1553569710,88,2.02,112.94,79.14,2.82
485,Talara,8,PE,1553569483,75,-4.58,-81.27,72.93,5.73
486,Smithers,20,CA,1553565600,42,54.78,-127.17,44.6,4.7
487,Krasnomayskiy,8,RU,1553567400,92,55.0,82.52,24.8,6.62
488,Sambava,32,MG,1553569653,100,-14.27,50.17,79.95,4.61
489,Mpanda,76,TZ,1553569715,93,-6.34,31.07,63.75,2.93
490,Kencong,68,ID,1553569717,96,-7.78,112.24,78.42,2.93
491,Mount Isa,90,AU,1553567820,100,-20.73,139.49,75.2,14.99
492,Touros,40,BR,1553565600,88,-5.2,-35.46,78.8,2.24
493,Verkhnevilyuysk,0,RU,1553569720,57,63.45,120.31,13.8,3.71
494,Ios,0,GR,1553568600,66,36.73,25.28,53.6,9.75
495,Eenhana,100,NA,1553565600,64,-17.48,16.34,75.2,6.93
496,Mogeiro,0,BR,1553565600,83,-7.3,-35.48,78.8,2.24
497,Plettenberg Bay,44,ZA,1553569725,100,-34.05,23.37,63.03,4.83
498,Selfoss,90,IS,1553569249,86,63.94,-21.0,42.01,21.92
499,Hammerfest,88,NO,1553566800,68,70.66,23.68,30.2,28.86
500,San Cristobal,75,EC,1553568369,93,-0.39,-78.55,59.0,5.82
501,Saint-Michel-des-Saints,44,CA,1553569640,6,46.68,-73.92,21.99,1.01
502,Huanren,24,CN,1553569731,37,41.26,125.37,39.45,3.15
503,Tomatlan,0,MX,1553569732,76,19.93,-105.25,68.79,2.71
504,Saint Anthony,1,US,1553569527,64,43.97,-111.68,44.6,4.7
505,Bathsheba,40,BB,1553565600,78,13.22,-59.52,77.0,21.92
506,Birao,0,CF,1553569736,59,10.3,22.78,74.73,6.4
507,Horsham,44,AU,1553569737,77,-36.71,142.2,64.56,11.65
508,Itumbiara,56,BR,1553569738,86,-18.41,-49.22,72.21,4.94
509,Lermontovka,88,RU,1553569740,75,47.15,134.34,27.39,12.66
510,Sao Gabriel da Cachoeira,12,BR,1553569741,91,-0.13,-67.09,77.88,2.15
511,College,90,US,1553569507,93,64.86,-147.8,44.6,4.7
512,San Ignacio,36,CL,1553565600,71,-36.8,-72.03,55.4,2.24
513,Nyurba,20,RU,1553569745,65,63.29,118.35,14.79,3.71
514,Bar Harbor,1,US,1553569719,36,44.39,-68.2,32.0,6.93
515,Flin Flon,8,CA,1553569747,59,54.77,-101.88,25.95,6.96
516,Yerbogachen,32,RU,1553569748,72,61.28,108.01,17.13,5.39
517,Poya,12,NC,1553569750,97,-21.35,165.16,79.68,14.45
518,Komsomolskiy,88,RU,1553569751,91,67.55,63.78,28.74,15.46
519,Vostok,80,RU,1553569571,79,46.45,135.83,26.76,5.95
520,Jieshi,20,CN,1553569753,87,22.82,115.83,72.93,13.11
521,Iskilip,0,TR,1553569754,75,40.73,34.47,16.68,1.81
522,Ibirama,12,BR,1553569756,91,-27.05,-49.52,60.69,3.71
523,Sisimiut,68,GL,1553569596,85,66.94,-53.67,14.07,2.37
524,Poum,24,MK,1553569618,81,41.28,20.71,29.82,1.7
525,Makaha,90,US,1553569648,69,21.47,-158.22,82.4,9.17
526,Ishigaki,75,JP,1553565600,68,24.34,124.16,71.6,14.99
527,Durban,40,FR,1553569700,51,43.54,0.58,41.0,4.7
528,Bryan,1,US,1553569415,59,30.67,-96.37,68.0,6.93
529,Zhigansk,0,RU,1553569467,59,66.77,123.37,4.98,4.38
530,Jiaohe,0,CN,1553569765,53,43.72,127.34,33.15,5.95
531,San Policarpo,92,PH,1553569766,100,12.18,125.51,76.53,10.65
532,Alice Springs,0,AU,1553567400,31,-23.7,133.88,77.0,17.22
533,Emerald,40,AU,1553569750,52,-23.53,148.16,90.0,10.29
534,Masallatah,0,LY,1553569770,76,32.62,14.0,42.15,6.85
535,Requena,0,ES,1553569747,75,39.49,-1.1,52.0,3.36
536,Buraydah,0,SA,1553565600,66,26.33,43.97,55.4,18.34
537,Mnogovershinnyy,36,RU,1553569773,61,53.94,139.92,21.0,4.61
538,Honiara,56,SB,1553569775,100,-9.43,159.96,79.23,2.37
539,Neya,0,RU,1553569776,85,58.29,43.89,20.1,8.63
540,Bulungu,36,CD,1553569777,97,-4.54,18.6,69.6,2.59
541,Cabedelo,0,BR,1553565600,83,-6.97,-34.84,78.8,2.24
542,Beitbridge,0,ZA,1553569779,97,-22.21,29.99,66.27,4.5
543,Naryan-Mar,80,RU,1553569781,81,67.67,53.09,25.59,5.84
544,Piney Green,90,US,1553569753,100,35.09,-78.48,57.99,2.37
545,Rize,40,TR,1553568600,71,41.02,40.52,41.0,5.82
546,Lodja,92,CD,1553569784,95,-3.52,23.6,71.31,2.37
547,Arman,0,RU,1553569785,65,59.7,150.17,18.75,10.87
548,Cap Malheureux,40,MU,1553569746,94,-19.98,57.61,77.0,15.23
549,Mahajanga,40,MG,1553565600,94,-15.72,46.32,78.8,4.7
550,Murgab,75,TM,1553565600,93,37.5,61.97,55.4,6.93
551,Praia,0,BR,1553565600,78,-20.25,-43.81,71.6,4.7
552,Rovaniemi,0,FI,1553568600,57,66.5,25.72,19.4,5.82
553,Mackenzie,1,CA,1553565600,75,55.34,-123.09,41.0,2.04
554,Hoopstad,0,ZA,1553569794,100,-27.83,25.91,58.8,8.52
555,Leh,56,IN,1553569795,83,34.16,77.58,-0.16,1.14
556,Agaro,80,ET,1553569796,74,7.86,36.59,60.78,2.59
557,Tadine,48,NC,1553569797,89,-21.55,167.88,81.39,19.48
558,Ritchie,0,ZA,1553565600,87,-29.03,24.6,59.0,6.93
